no,sentence
176,"Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Rack of Oregon Lamb $45 Rack of Oregon Lamb Rack of Oregon Lamb $45 $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Steak Killian $36 Steak Killian Steak Killian $36 $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Willapa Bay Oyster Dinner $30 Willapa Bay Oyster Dinner Willapa Bay Oyster Dinner $30 $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Clams Bucatini $29 Clams Bucatini Clams Bucatini $29 $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 $29 Only the Best Fresh Ingredients, Locally Sourced Only the Best Fresh Ingredients, Locally Sourced Only the Best Fresh Ingredients, Locally Sourced Only the Best Fresh Ingredients, Locally Sourced Only the Best Fresh Ingredients, Locally Sourced Only the Best Fresh Ingredients, Locally Sourced Only the Best Only the Best Only the Best Fresh Ingredients, Locally Sourced Fresh Ingredients, Locally Sourced Fresh Ingredients, Locally Sourced First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
177,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
178,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
179,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder First Place First Place First Place Coast Weekend Reader’s Choice Coast Weekend Reader’s Choice Best Fine Dining Best Fine Dining Best Fine Dining Best Chef Best Chef Best Chef Best Clam Chowder Best Clam Chowder Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""#3 Reason to visit theLong Beach Peninsula"" ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine Sunset Magazine Sunset Magazine Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline People’s Platelist Best Chef Nominee ABC's Nightline People’s Platelist Best Chef Nominee People’s Platelist Best Chef Nominee People’s Platelist Best Chef Nominee ABC's Nightline ABC's Nightline ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 5/5 “Fabulous food & flawless service” “Fabulous food & flawless service” “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times “One of the best meals I found in 7 days of road tripping.” LA Times “One of the best meals I found in 7 days of road tripping.” LA Times “One of the best meals I found in 7 days of road tripping.” LA Times LA Times LA Times LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
180,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 5/5 “Dessert is an absolute must” “Dessert is an absolute must” “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition The Best Places to Kiss in the Northwest, 8th Edition The Best Places to Kiss in the Northwest, 8th Edition The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival Best Clam Chowder Long Beach Razor Clam Festival Best Clam Chowder Best Clam Chowder Best Clam Chowder Long Beach Razor Clam Festival Long Beach Razor Clam Festival Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
181,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
182,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 ★★★★★ 5/5 5/5 “this restaurant abounds in vintage character” “this restaurant abounds in vintage character” “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
183,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition “This is the just the sort of restaurant that you dream of finding on vacation."
184,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition “This is the just the sort of restaurant that you dream of finding on vacation."
185,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition “This is the just the sort of restaurant that you dream of finding on vacation."
186,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Frommer’s Washington State Guide 4th Edition Frommer’s Washington State Guide 4th Edition Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland Restaurant of the Week Katu Portland Restaurant of the Week Restaurant of the Week Restaurant of the Week Katu Portland Katu Portland Katu Portland Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
187,"House salad, oyster appetizer and chowder also available."
188,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
189,"House salad, oyster appetizer and chowder also available."
190,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
191,"House salad, oyster appetizer and chowder also available."
192,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
193,"House salad, oyster appetizer and chowder also available."
194,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
195,"House salad, oyster appetizer and chowder also available."
196,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
197,"House salad, oyster appetizer and chowder also available."
198,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
199,"House salad, oyster appetizer and chowder also available."
200,"Call for Reservations Follow Us Facebook Instagram Yelp Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
201,"House salad, oyster appetizer and chowder also available."
202,"Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
203,"House salad, oyster appetizer and chowder also available."
204,"Hours of Operation Hours of Operation Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Monday 4:30 PM - 8:00 PM Monday 4:30 PM - 8:00 PM Monday Monday 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Tuesday Tuesday 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Wednesday Wednesday 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Thursday Thursday 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Friday 4:30 PM - 8:30 PM Friday Friday 4:30 PM - 8:30 PM 4:30 PM - 8:30 PM 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Saturday Saturday 4:30 PM - 8:30 PM 4:30 PM - 8:30 PM 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Sunday 4:30 PM - 8:00 PM Sunday Sunday 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
205,"House salad, oyster appetizer and chowder also available."
206,"Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
207,"House salad, oyster appetizer and chowder also available."
208,Call for Reservations Follow Us Facebook Instagram Yelp Call for Reservations Follow Us Facebook Instagram Yelp Call for Reservations Call for Reservations Call for Reservations Call for Reservations Call for Reservations Call for Reservations Follow Us Follow Us Follow Us Facebook Instagram Yelp Facebook Instagram Yelp Facebook Instagram Yelp Facebook Facebook Facebook Instagram Instagram Instagram Yelp Yelp Yelp THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot THE DEPOT THE DEPOT THE DEPOT Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Main Menu Home Menu History Events Food Truck Contact Home Home Menu Menu History History Events Events Food Truck Food Truck Contact Contact Facebook-f Instagram Yelp Facebook-f Instagram Yelp Facebook-f Instagram Yelp Facebook-f Facebook-f Facebook-f Instagram Instagram Instagram Yelp Yelp Yelp © 2023 The Depot © 2023 The Depot © 2023 The Depot × × Scroll to Top Scroll to Top
