Title	Category
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired)	Social Proof
NO THANKS, I'll PAY FULL PRICE	Misdirection
13 people have added this to their cart	Social Proof
Panther Anole	Not Dark Pattern
Last chance! Only 1 left	Scarcity
AccessoriesCar AccessoriesDressesFootwearHome & OfficeJacketsLawn & OutdoorsPantsPolosShirts & SweatersShortsSleepwear & UnderwearSwim CollectionTailgatingSale Items- View All -	Not Dark Pattern
Pay weekly 	Not Dark Pattern
YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.	Obstruction
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!	Not Dark Pattern
Sale ends soon:	Urgency
Only 16531 items left in stock!	Scarcity
Want a special deal? Bundle and SAVE UPTO30%	Misdirection
4 people have purchased this item	Social Proof
BABY BOYSShoesClothingAccessories	Not Dark Pattern
NEED ADDITIONAL HELP?	Not Dark Pattern
These cookies are necessary for the website to function and cannot be switched off in our system. These cookies are usually only set in response to actions made by you which include a request for services, such as setting your privacy preferences or logging into your account.	Not Dark Pattern
Only 3 Left!	Scarcity
High-Waisted Shorts	Not Dark Pattern
 Sign In / Join 	Not Dark Pattern
We only have few stocks left for this product. Please don't miss the chance.	Scarcity
Click here to use our website with more accessibility support, for example screen readers	Not Dark Pattern
Your order is reserved for 09:35 minutes!	Urgency
LIMITED TIME ONLY *on select models	Urgency
 Mixed Media 	Not Dark Pattern
BE QUICK 00:57:33 DON'T MISS OUT	Urgency
New In 	Not Dark Pattern
Remove selected car filter	Not Dark Pattern
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S	Urgency
Shipping and Duties	Not Dark Pattern
Order by these dates to get it by Valentine's Day.*	Not Dark Pattern
NFL Enterprises LLC. All Rights Reserved.	Not Dark Pattern
LOGIN/REGISTER	Misdirection
00Days17Hours12Mins13Secs	Urgency
 Women's Bags 	Not Dark Pattern
We're sorry, this store is closed.	Not Dark Pattern
3 people are looking at this item right now	Social Proof
Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.	Social Proof
Hurry, Limited Time Offer! 11:25	Urgency
 Search Close 	Not Dark Pattern
touching, funny and romantic	Not Dark Pattern
We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.	Misdirection
Only 2 stock available	Scarcity
Hurry! Only 3 Left In Stock.	Scarcity
◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.	Sneaking
 Sorry, we could not process your request at the moment. Please try again in a few minutes. 	Not Dark Pattern
 Jersey GBP	Not Dark Pattern
My Account 	Not Dark Pattern
No Thanks, I Don't Want a Discount	Misdirection
Hair Grooming Appliances	Not Dark Pattern
WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.	Sneaking
Pedal Refresh Kit - Doubleshot	Not Dark Pattern
I'd rather pay full price	Misdirection
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing 	Urgency
Only 8 items left in stock!	Scarcity
ONLY 1 LEFT IN STOCK!	Scarcity
Subscribe & Save (15%): $ 16.99	Misdirection
Shop Plus Shorts by Pattern	Not Dark Pattern
 Dry Direct Incontinence Personal Care Daily Living Safety Bedroom Nutrition Mobility Lift Aids Medical Supplies Plus Size 	Not Dark Pattern
Clarity Remotes	Not Dark Pattern
Summary	Not Dark Pattern
 Limited Edition Colors 	Not Dark Pattern
For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies: 	Not Dark Pattern
FRAMON #2 Code Machine Offer - Limited time offer!	Urgency
Jewelry and Watches	Not Dark Pattern
Limited stock!	Scarcity
Hurry! Only 2 left in stock!	Scarcity
*	Not Dark Pattern
SLEEP EVENT OFFERS - LIMITED TIME ONLY	Urgency
This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.	Not Dark Pattern
Only 1 left in Stock!	Scarcity
Competitions	Not Dark Pattern
 Shop All Men's Boots 	Not Dark Pattern
Expand My eBay	Not Dark Pattern
Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago	Social Proof
Jumpers, Shirts & T-Shirts	Not Dark Pattern
Media Players	Not Dark Pattern
Only 3 left In Stock	Scarcity
Father's Day Gifts	Not Dark Pattern
Enjoy FREE shipping with WSJwine Advantage	Sneaking
only 2 left!	Scarcity
Only 1 in stock	Scarcity
Only 8 item(s) left.	Scarcity
Spring Sale Extended	Urgency
No, I don't want a discount	Misdirection
No thanks, I don't want the free gift.	Misdirection
Extra Soft Cleansing Wipes	Not Dark Pattern
Men's Accessories 	Not Dark Pattern
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago	Social Proof
SAVE $300.00\nfor limited time	Urgency
Enter Catalog/Email Code	Not Dark Pattern
[NO THANKS, I'LL JUST WALK]	Misdirection
Yaris Remotes	Not Dark Pattern
Currently 8 left in stock.	Scarcity
NO, I DON'T FEEL LUCKY	Misdirection
Currently less than 10 available	Scarcity
Ends Sunday! $200 off any mattress . free shipping & free returns!	Urgency
Stay on Next.co.uk	Not Dark Pattern
Only 8 left!	Scarcity
Only 1 items left in stock!	Scarcity
___	Not Dark Pattern
View All Home Accessories	Not Dark Pattern
Healing Crystals are natural beings just like the trees, mountain or flowers. The result of diverse chemical reactions inside the earth over a millennium, gemstones are a true wonder of nature. When you touch a healing crystal, there is a transfer of heat and energy that leads to activation of chakra points. These therapeutic powers noticed in the presence of gemstones are the reason they are called healing crystals. With some crystals as old as the earth, there is immense wisdom in crystal use.	Not Dark Pattern
How to cast on	Not Dark Pattern
Tree Frog Terrariums	Not Dark Pattern
9 people are currently viewing this product	Social Proof
ONLY 1 WATCH LEFT	Scarcity
2+ people just viewed this product	Social Proof
94% offers claimed. Hurry up!	Scarcity
I'D RATHER PAY FULL PRICE	Misdirection
KidsAuthentic	Not Dark Pattern
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item	Misdirection
Country (Optional)	Not Dark Pattern
Hair treatments	Not Dark Pattern
Product Recycling	Not Dark Pattern
Purchase protection added	Sneaking
Only 6 items left	Scarcity
39 people have this in their cart	Social Proof
 Sunflower 	Not Dark Pattern
23% left in stock!	Scarcity
Gold Collection	Not Dark Pattern
In Stock. Only 1 Left!	Scarcity
Status:Only 3 left in stock	Scarcity
No thanks - I don't want to save money	Misdirection
Amazing service and quality! Lee up the excellent work.	Not Dark Pattern
Today's sale ends in: 00hours:57min:19sec	Urgency
ONLY 7 LEFT!	Scarcity
Business, Office & Industrial	Not Dark Pattern
My Story	Not Dark Pattern
8 people are looking at this artwork	Social Proof
 Coffee 	Not Dark Pattern
Add on something to make it extra special!	Misdirection
 Take time to pay.	Not Dark Pattern
OFFER ENDS 00:54:59	Urgency
Other Items On Special Offer:	Misdirection
You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.	Obstruction
LIMITED TIME SALE	Urgency
NO THANKS, I DON'T WANT TO SAVE	Misdirection
Authenticity Guaranteed	Not Dark Pattern
 GeekVape Pursue a Healthy Vaping Experience 	Not Dark Pattern
320 items left	Scarcity
HURRY! 3 left in stock!	Scarcity
Nectar	Not Dark Pattern
 My Project Lists 	Not Dark Pattern
Adjustable Cuffs With Inner Knitted Cuff	Not Dark Pattern
Tribeca Remotes	Not Dark Pattern
Brand 	Not Dark Pattern
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.	Forced Action
The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with Parentgiving in all aspects.	Not Dark Pattern
(ONLY 1 LEFT IN THIS SIZE!)	Scarcity
Only 65 Items Left.	Scarcity
Only 3 left in stock.	Scarcity
I Don't Like to Save Money	Misdirection
In Stock, Only 1 Left!	Scarcity
Really good quality contacts and they work well on my eyes. Would definitely order again!!!!	Not Dark Pattern
Explosive Offers! 80% Off Everything 07:25:41	Urgency
Warne Mounts	Not Dark Pattern
Report a Fake Product	Not Dark Pattern
 Shop All NFL 	Not Dark Pattern
Tapestry Guide	Not Dark Pattern
Only 4 left	Scarcity
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully	Not Dark Pattern
Decades Shop	Not Dark Pattern
I'LL PAY FULL PRICE	Misdirection
gifts for wife	Not Dark Pattern
Hurry only 1 left!	Scarcity
Only 8 item(s) left	Scarcity
No thanks, I’d rather not win.	Misdirection
LOW IN STOCK, only 2 left	Scarcity
74% offers claimed. Hurry up!	Scarcity
Color Block	Not Dark Pattern
I'd rather not save	Misdirection
Only 2 left in stock!	Scarcity
You have no items in your basket.	Not Dark Pattern
no thanks, I hate fun & games	Misdirection
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!	Urgency
Soft Flexible (Classic) 	Not Dark Pattern
Glasses and Goggles	Not Dark Pattern
 Zero Gravity Lift Chairs 	Not Dark Pattern
Bobby in Decatur, United States just purchased	Social Proof
tuvia eisenberg Systematics in Tel Aviv, Israel purchased a	Social Proof
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.	Urgency
All Cross Stitch Patterns	Not Dark Pattern
 Year of Ours 	Not Dark Pattern
Gear Up	Not Dark Pattern
Weight Management Shakes help cut cals, control appetite, and drop LBS.* Learn more about Weight Management Shakes.	Not Dark Pattern
Tretorn	Not Dark Pattern
 Loyalty Points 	Not Dark Pattern
 How to Recycle 	Not Dark Pattern
 Color Yellow Smoke Blue Pink Orange	Not Dark Pattern
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.	Urgency
Art & Crafting Tools	Not Dark Pattern
One customer bought this article in the last 53 min.	Social Proof
 Highlight Hover 	Not Dark Pattern
 Disposable Washcloths 	Not Dark Pattern
Accuscreens	Not Dark Pattern
 Jumpers + Sweaters 	Not Dark Pattern
 Contact Lens Washer 	Not Dark Pattern
Only 9 Left!	Scarcity
Hurry! Only 2 left!	Scarcity
2 people are looking at this listing now	Social Proof
Every Purchase Helps Your NRA:	Not Dark Pattern
1 left at this price	Scarcity
 BACK TO TOP 	Not Dark Pattern
ONLY 12.5M LEFT IN STOCK!	Scarcity
Protect Your Gear	Misdirection
 Outdoor Recreation 	Not Dark Pattern
Allow All	Not Dark Pattern
We are currently accepting and processing orders from following:	Not Dark Pattern
What could have caused this?	Not Dark Pattern
210+ bought	Social Proof
No thanks, I'm not interested in saving money.	Misdirection
 SHIPPING INFO 	Not Dark Pattern
Plus, get free shipping on your first order!	Not Dark Pattern
BMW Remotes	Not Dark Pattern
All You™	Not Dark Pattern
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago	Social Proof
 Summer Casual Printed Short Sleeve T-Shirt 	Not Dark Pattern
 Join NRA or Renew	Not Dark Pattern
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.	Misdirection
Know exactly what’s going on at home and be alerted of emergencies in real time. 	Not Dark Pattern
Become an Affiliate	Not Dark Pattern
Competitor Price: $172.00	Misdirection
No thanks, I'd rather pay more	Misdirection
6 items left! Order soon.	Scarcity
Sports 	Not Dark Pattern
ONLY 20 LEFT IN STOCK	Scarcity
Immunity & Well BeingLean Muscle MassWeight LossBulk GainStress & Relaxation	Not Dark Pattern
By Brand All Men's Brands 	Not Dark Pattern
Customer Feedback	Not Dark Pattern
 Read the FAQ 	Not Dark Pattern
ONLY 1 LEFT	Scarcity
No thanks, I don't want 15% off	Misdirection
The presence of flowers is enough to make any occasion or moment truly a memorable affair. Flowers can make an ordinary room extremely beautiful. Flowers are widely used in decorations, as gifts, or even as ornaments on various dresses. People can explore a variety of fresh vibrant flowers such as roses, tulips, orchids, carnations, sunflowers, chrysanthemums and a lot more through the help of our online gifting store. All these beautiful flowers will be delivered at your desired destination in blooming condition only. With an unmatched beauty and fragrance, these gorgeous and lovely flowers can easily mesmerise any individual in an effortless manner.	Not Dark Pattern
Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago	Social Proof
99 people are looking at this right now	Social Proof
Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)	Social Proof
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set	Not Dark Pattern
 All Birthday Gifts 	Not Dark Pattern
Rainbow Li	Not Dark Pattern
• Recommended to be used with Downy for better long lasting freshness 	Not Dark Pattern
cookie host	Not Dark Pattern
Only 4 left!	Scarcity
Almost Sold Out! Only 2 Left.	Scarcity
Pay With:	Not Dark Pattern
Days left until the offer ends: 00 Days 04:43:35	Urgency
 Data Processor Privacy Policy: https://videoly.co/privacy-policy 	Not Dark Pattern
 School Shoes	Not Dark Pattern
 V-neck Casual Loose Embroidered Short Sleeve Blouse 	Not Dark Pattern
Spin to unlock your mystery offer	Misdirection
Only 2 items left in stock.	Scarcity
104 people viewed this product recently!	Social Proof
Material: Made with Cordura fabric	Not Dark Pattern
Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago	Social Proof
Recent searches	Not Dark Pattern
Gorgeous, lasting high-quality hair color—crafted in Italy.	Not Dark Pattern
Only A Few Left	Scarcity
 Apple iPhone X » 	Not Dark Pattern
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago	Social Proof
Certified Face Masks	Not Dark Pattern
 Price Low To High 	Not Dark Pattern
1 in stock	Scarcity
Leah Rich in Louisville, United States purchased a	Social Proof
Home + Tech Almost Gone	Not Dark Pattern
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.	Urgency
Only 3 Left! Get it before it`s gone!	Scarcity
No thanks, I'll be the last to know.	Misdirection
Hurry Up ! Just 2 Items Left in stock	Scarcity
Toe Ring	Not Dark Pattern
Women's Acid Wash Scoopneck Sweater	Not Dark Pattern
62 people have looked at this item in the last few hours.	Social Proof
Boys Grey School Uniforms	Not Dark Pattern
8 customers have bought today	Social Proof
My Reviews	Not Dark Pattern
Last 1 in stock	Scarcity
Skin Concerns	Not Dark Pattern
Only 1 left!	Scarcity
Only a few left	Scarcity
Romper Swimwear	Not Dark Pattern
 View All Mattress Accessories 	Not Dark Pattern
The page you were looking for doesn't exist.	Not Dark Pattern
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :)	Not Dark Pattern
 Chair Accessories 	Not Dark Pattern
No Thanks, I'll let this offer sail away	Misdirection
Stay in the Know	Not Dark Pattern
 V-neck Casual Loose Vintage Print Short Sleeve T-shirt 	Not Dark Pattern
Limited stock available	Scarcity
Thank you for posting a question!	Not Dark Pattern
Installation InstructionsPolicies & Terms of UseFinancingSite Map	Not Dark Pattern
Golf Shop	Not Dark Pattern
 Plastic 	Not Dark Pattern
Synthesis XCT Alloy Front Wheel	Not Dark Pattern
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69	Sneaking
Shop Tops by Pattern	Not Dark Pattern
Striped Tops	Not Dark Pattern
My AccountSign-in to your account	Not Dark Pattern
Due To HIGH Demand, Cart Expires In: 08:41	Urgency
ONLY 3 LEFT! GET IT NOW!	Scarcity
5 people are looking at this product right now	Social Proof
 Get The Look The Full Story Shop Now Read More 	Not Dark Pattern
Don’t worry. We’ve got your back.	Not Dark Pattern
Hurry up! Discount Ends in DAYS HRS MINS SECS	Urgency
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!	Scarcity
 C.P. Company 	Not Dark Pattern
In other users' carts 59	Social Proof
Nicholas Kirkwood	Not Dark Pattern
Aids mental processing†	Not Dark Pattern
Awhi from Hicks Bay, Gisborne, New Zealand just bought	Social Proof
 Crossbody & Belt Bags 	Not Dark Pattern
clear text 	Not Dark Pattern
24 people currently interested	Social Proof
 Worldwide 	Not Dark Pattern
IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.	Obstruction
AboutOur StoryOur MissionOur ProductsIn the News	Not Dark Pattern
5 Viewing This Product	Social Proof
23 People viewing this product	Social Proof
Activate within 0:30:00	Urgency
Concrete Tools	Not Dark Pattern
Transmission and Driveline	Not Dark Pattern
James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes	Social Proof
Fast Mover: 35 PEOPLE added this to cart today!	Social Proof
Metal - Brass , hollow from inside 	Not Dark Pattern
No thank you, I prefer to pay full price	Misdirection
 to read up about	Not Dark Pattern
• State-by-State Restrictions	Not Dark Pattern
DON'T LET 'EM GET AWAY Several people have recently viewed this item.	Social Proof
No thanks. I prefer paying full price.	Misdirection
Crystal Li in Flushing, United States purchased a	Social Proof
Only 5 Left in Stock. Buy Soon!	Scarcity
 PG Picks: Skin Care for Incontinence 	Not Dark Pattern
Carl F. from Fort Ann, NY bought a King	Social Proof
137 users are currently active on our website	Social Proof
Reloading Tools	Not Dark Pattern
Edwin in Woodland Park, NJ just bought	Social Proof
Returns / Warranty	Not Dark Pattern
83% offers claimed. Hurry up!	Scarcity
Loading	Not Dark Pattern
Institute for Legislative Action	Not Dark Pattern
Clearance! Only 4 left in stock.	Scarcity
from Korea, South	Not Dark Pattern
Jeremy in Stockton, United States purchased a	Social Proof
Only 4 Left!	Scarcity
 Alchemy Books 	Not Dark Pattern
When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. 	Not Dark Pattern
Only 1 products left	Scarcity
1 left in stock	Scarcity
🔥 9 people are viewing this.	Social Proof
715 people have added this item to cart	Social Proof
 Black / White Refine by Color: Black / White 	Not Dark Pattern
Call It Spring	Not Dark Pattern
Bathroom Basins	Not Dark Pattern
Infrared Night Vision	Not Dark Pattern
Download mobile app	Not Dark Pattern
 Write a reviewAsk a question	Not Dark Pattern
00DAYS02HRS14MINS1211SEC	Urgency
RegionBracket Right	Not Dark Pattern
Boxster Remotes	Not Dark Pattern
24 people have purchased this wine today	Social Proof
Rare Book Conditions 	Not Dark Pattern
Hurry! Less than 10 left!	Scarcity
I DON'T LIKE FREE GIFTS, NO THANKS	Misdirection
We don't give out your details to third parties.	Not Dark Pattern
Short Sleeve T-Shirts 	Not Dark Pattern
ONLY 13 LEFT	Scarcity
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago	Social Proof
 Tires	Not Dark Pattern
Someone in Egypt bought	Social Proof
mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago	Social Proof
Bearded Dragon Substrates	Not Dark Pattern
Toddler Girl Jumpsuits and Rompers	Not Dark Pattern
Enable cookies to use the shopping cart	Not Dark Pattern
Women's Go-Tos	Not Dark Pattern
This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls.	Not Dark Pattern
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS	Urgency
No, I'd rather pay full price.	Misdirection
Shopping with JD	Not Dark Pattern
 All Brands A-Z 	Not Dark Pattern
 Light Blue Regular Fit Single Cuff Easy Care Shirt 	Not Dark Pattern
Crop Tops	Not Dark Pattern
Photography Projector	Not Dark Pattern
 Salt Bender Tank and Shorts Combo 	Not Dark Pattern
Diamond Nose Studs 	Not Dark Pattern
 Military Discount 	Not Dark Pattern
Customize your phone with hundreds of grips, cases, wallets, and more.	Not Dark Pattern
5338 people viewed this in the last hour	Social Proof
Only 1 item left in stock	Scarcity
 Add to Wish List Add to Compare 	Not Dark Pattern
No Thanks, I don't want a discount	Misdirection
Availability: In Stock Hurry! Only 8 Left!	Scarcity
 Italy € EUR 	Not Dark Pattern
Politics And Legislation	Not Dark Pattern
Fewer than 5 left!	Scarcity
 Gift Cards Collection 	Not Dark Pattern
No Thanks, I prefer paying full price.	Misdirection
We guarantee to match a lower online price.	Not Dark Pattern
Hurry, before it is gone! Limited time remaining!	Urgency
Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago	Social Proof
Select your size below and we'll email you if it comes back in stock!	Not Dark Pattern
Only 867 left	Scarcity
About Cheryl's Business Gifts	Not Dark Pattern
Only 2 units left in stock	Scarcity
You can either livechat or email our support team with any questions or concerns. We are always ready to help. 	Not Dark Pattern
Only one item left in stock!	Scarcity
Synthesis E-MTB Alloy Rear Wheel	Not Dark Pattern
LIMITED TIME DEAL!	Urgency
Only 3 available	Scarcity
Only 1 left in online stock	Scarcity
Great for shine	Not Dark Pattern
 Learn More 	Not Dark Pattern
 Paper, Pads & Blocks Toggle category Paper, Pads & Blocks 	Not Dark Pattern
Hurry! Almost Sold Out...	Scarcity
. 	Not Dark Pattern
Only 2 copies left	Scarcity
Christmas Craft Ideas	Not Dark Pattern
Limited Quantity Available	Scarcity
No Thanks, I Don't Like Exclusive Offers.	Misdirection
Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago	Social Proof
2 items left	Scarcity
PomeloFashion born in AsiaOn trend. Online. On the go.	Not Dark Pattern
Available, only 2 left	Scarcity
Someone in San diego, United States just bought Gemfield Watch 15 days ago	Social Proof
Cowgirls	Not Dark Pattern
 Rs INR 	Not Dark Pattern
- +	Not Dark Pattern
If I emailed you how much I love each jersey you’d have an essay coming your way!	Not Dark Pattern
 Shirts & Blouses 	Not Dark Pattern
JFN Ladies Flat Embroidered Slip-On Dirty Shoes Vintage Thong Sandals	Not Dark Pattern
 New in 	Not Dark Pattern
There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).	Obstruction
About Bob's	Not Dark Pattern
22 people have looked at this part recently	Social Proof
Limited Time!	Urgency
4 sold in last 5 hours	Social Proof
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO	Social Proof
Your order is reserved for 08:53 minutes!	Urgency
 Rudraksha Recommendations 	Not Dark Pattern
OFFER ENDS: 09h: 09m: 55s: 0 	Urgency
 Added to Favorites 	Not Dark Pattern
Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago	Social Proof
Brown Dresses	Not Dark Pattern
Someone in city just added Radiance - Nebulizing Diffuser® to their cart	Social Proof
They look really good with my brown eyes, and they look pretty natural.	Not Dark Pattern
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy 	Not Dark Pattern
Hurry! Only 1 Pair left!	Scarcity
Plus Size Graphic Tops	Not Dark Pattern
Protection Filters	Not Dark Pattern
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS	Urgency
Interactive Tent Finder	Not Dark Pattern
Cart will expire in 04:53 minutes!	Urgency
✕	Not Dark Pattern
Hurry, Only 4 Left In Stock. Buy Now!	Scarcity
take me back to shopping	Not Dark Pattern
Only 7 left	Scarcity
89% offers claimed. Hurry up!	Scarcity
No thanks, I hate cool stuff	Misdirection
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago	Social Proof
20 units left	Scarcity
High demand	Scarcity
3642 BOUGHT	Social Proof
5 in stock	Scarcity
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain"	Social Proof
Solar Powered Paw Print Ground Light	Not Dark Pattern
Only 1 left	Scarcity
Candy Melts	Not Dark Pattern
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress	Not Dark Pattern
Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago	Social Proof
Last purchase was 18 minutes ago by someone from Dublin	Social Proof
7 users have looked at this product in the past 6 minutes	Social Proof
Crystal Shivlingas 	Not Dark Pattern
Facebook icon	Not Dark Pattern
 Midleton Very Rare 	Not Dark Pattern
Pillow & Foam Bed Wedges	Not Dark Pattern
Happiness is to hold flowers in both hands. Furthermore, flowers make for an integral part of all occasions and celebrations........ Read More...	Not Dark Pattern
 Contact Support 	Not Dark Pattern
Only 7 in Stock!	Scarcity
Use the left and right arrow keys to navigate the Menu. Use the enter key to activate the submenu on a navigation item. Use escape key to close the submenu. 	Not Dark Pattern
Score! You've Qualified for a Checkout Bonus	Misdirection
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago"	Social Proof
No thanks, I don't like FREE stuff.	Misdirection
No thanks, I just want the item	Misdirection
ONLY 1 LEFT IN STOCK	Scarcity
Trending now! Added to basket 38 times today	Social Proof
 Love the way you pay 	Not Dark Pattern
Homeware Trends	Not Dark Pattern
Victoria Victoria Beckham	Not Dark Pattern
In stock, only 1 products left	Scarcity
LAST 1 LEFT	Scarcity
 Rain Boots 	Not Dark Pattern
only 2 left in stock	Scarcity
No thanks, I don't like deals.	Misdirection
Exterior Accessories	Not Dark Pattern
Size low on stock, only 1 item left	Scarcity
Strength & Functional Training	Not Dark Pattern
8 people have this in their bag right now.	Social Proof
Motion Control System	Not Dark Pattern
11 people viewed this today!	Social Proof
View All Home Accents	Not Dark Pattern
SUBSCRIPTION SUCCESSFUL. THANK YOU!	Not Dark Pattern
 Lawn Mowers 	Not Dark Pattern
Sale Clothing	Not Dark Pattern
 Fashion Floral Short Sleeve Dress 	Not Dark Pattern
How about one of these hot sellers?	Misdirection
Only 3 left	Scarcity
Now 20% off, hurry limited time offer!	Urgency
Boys Red School Uniforms	Not Dark Pattern
No thanks, I don't want a free gift.	Misdirection
"Hurry! Sale Ends In:

02:59:50"	Urgency
 info@chainedandable.com 	Not Dark Pattern
NO, I'D RATHER PAY FULL PRICE	Misdirection
activate within 10:00	Urgency
There is only one product left!	Scarcity
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO	Urgency
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee	Not Dark Pattern
 Laundry & Cleaning 	Not Dark Pattern
Only 3 left, order soon	Scarcity
 Entertainment Centers & TV Stands 	Not Dark Pattern
No, I don't feel lucky	Misdirection
STAY IN THE LOOP!	Not Dark Pattern
1 left in stock. Hurry!	Scarcity
